region,interest
Mississippi,100
West Virginia,99
Arkansas,99
Indiana,94
Alabama,93
Kentucky,92
South Carolina,91
Oklahoma,88
New Mexico,87
Louisiana,87
Tennessee,86
Delaware,86
Iowa,86
Michigan,84
North Carolina,84
Ohio,82
South Dakota,82
Texas,81
Florida,80
Missouri,80
Nevada,79
Pennsylvania,78
Idaho,78
Arizona,78
Georgia,78
Maine,78
Kansas,78
North Dakota,77
Rhode Island,77
Nebraska,77
Alaska,75
Hawaii,75
Utah,74
Wisconsin,74
Connecticut,72
Illinois,71
New Jersey,71
Montana,71
Maryland,71
New Hampshire,71
California,71
Wyoming,70
Vermont,69
Minnesota,69
Washington,67
Massachusetts,66
Colorado,65
New York,64
Virginia,61
Oregon,58
District of Columbia,49
